CPH
Malmo
Goteborg
Stockholm
Angelholm
Margretetorp
Hunserod
Visby
#
CPH,Malmo,Train,42,00:35,90
CPH,Goteborg,X2000,281,03:37,322
CPH,Goteborg,Train,281,03:57,140
CPH,Stockholm,Train,617,08:32,246
CPH,Stockholm,X2000,617,05:32,422
CPH,Goteborg,Air,281,01:10,600
CPH,Stockholm,Car,617,07:00,1000
CPH,Goteborg,Car,281,03:00,600
CPH,Malmo,Car,42,00:30,100
Malmo,Goteborg,Train,276,03:12,147
Malmo,Goteborg,X2000,276,02:42,243
Malmo,Stockholm,Train,618,07:37,163
Malmo,Stockholm,X2000,618,04:23,350
Malmo,Stockholm,Air,618,01:10,326
Malmo,Goteborg,Car,276,03:00,600
Malmo,Stockholm,Car,618,06:00,1000
Goteborg,Stockholm,X2000,475,03:08,280
Goteborg,Stockholm,Air,475,01:00,346
Goteborg,Stockholm,Car,475,05:00,800
#Angelholm,Margretetorp,Car,10,00:15,10
#Angelholm,Goteborg,Train,279,01:55,190
#
Hunserod,Malmo,Train,72,01:40,134
Hunserod,CPH,Train,114,02:25,208
Hunserod,Goteborg,Train,241,03:45,197
Hunserod,Stockholm,Train,540,08:15,211
Hunserod,Malmo,Car,72,01:00,150
Hunserod,CPH,Car,114,01:25,250
Hunserod,Goteborg,Car,241,02:50,500
Hunserod,Stockholm,Car,540,05:45,1000
#
Visby,Malmo,Car,474,07:40,1674
Visby,CPH,Car,520,08:00,1974
Visby,Goteborg,Car,472,09:00,1674
Visby,Stockholm,Car,213,06:00,1164
Visby,Hunserod,Car,447,07:40,1674
Visby,Stockholm,Air,213,00:35,293
